Trip Name,Stop,Latitude,Longitude,City,Country
A. DeVos SBM Reunion in Orlando - October 2011,1,39.0997,-94.5783,Kansas City,United States
A. DeVos SBM Reunion in Orlando - October 2011,2,28.538,-81.379,Orlando,United States
A. DeVos SBM Reunion in Orlando - October 2011,3,29.8947,-81.3144,St. Augustine,United States
A. DeVos SBM Reunion in Orlando - October 2011,4,30.3369,-81.6614,Jacksonville,United States
A. DeVos SBM Reunion in Orlando - October 2011,5,28.538,-81.379,Orlando,United States
A. DeVos SBM Reunion in Orlando - October 2011,6,39.0997,-94.5783,Kansas City,United States
